codigo,descripcion,valor_compra,lista_1,stock_original,bod_1,minimo
725515179735,ENERGIZANTE MR BUBBLE 250ML,900,1590,87,90,7
787239158339,ENERGIZANTE MR BUBBLE 250ML,1900,3190,90,100,5
724030223967,ALCOHOL GEL 100ML,1990,3000,45,34,15
707037023369,MEMORIA SD 32GB,2100,3900,59,44,9
703377007955,GEL ALCOHÓLICO 100ML,1200,1500,13,41,14
746962012191,MEMORIA SD 32GB,1400,2700,11,53,11
753061660635,GOMA DE MASCAR 5UN,400,790,15,37,14
759743227841,CABLE USB 1MT,2990,5600,63,58,13
792379607791,PASTA DIENTES COLGATE 90ML,100,190,13,106,16
769620372572,CHOCOLATE NESTLE 45G,390,500,63,71,11
703102912177,LECHE EN POLVO 400G,2800,4790,72,118,13
716447097258,CHIPS DE PAPA 35G,2000,3490,27,20,12
791728096705,CHOCOLATE NESTLE 45G,2190,4390,99,192,16
731342889773,CABLE JACK 3.5MM 1MT,290,590,53,56,6
743543068824,CARGADOR USB 2.4A,2190,4300,43,34,5
716336682942,GEL ALCOHÓLICO 100ML,890,1690,83,91,11
723750230102,VELA AROMÁTICA,2700,4000,71,85,11
799240465624,GEL ALCOHÓLICO 100ML,1290,1790,23,81,18
799430127943,CABLE USB 1MT,2090,3090,57,84,12
769771202578,AGUA MINERAL 500ML,200,300,24,29,9
714083810360,CABLE USB 1MT,1090,2000,81,138,7
777858530950,GALLETA MARIA 200G,1790,2600,87,148,16
738702803355,CARGADOR USB 2.4A,1400,2190,96,122,12
765262207398,ENERGIZANTE MR BUBBLE 250ML,2400,4000,71,98,10
778115056522,ADAPTADOR HDMI-VGA,690,1000,49,89,15
708642962069,ADAPTADOR HDMI-VGA,290,490,94,103,7
743752337768,BEBIDA COCA COLA 500ML,290,500,89,130,5
743726201574,ADAPTADOR HDMI-VGA,2290,2900,91,142,7
799839285278,CAFÉ INSTANTÁNEO 10G,2290,3900,62,35,9
715073335721,DETERGENTE ARIEL 500G,1690,2600,33,47,19
724705094405,CABLE JACK 3.5MM 1MT,1190,1800,35,34,18
707963296830,GOMA DE MASCAR 5UN,1890,3000,98,90,7
720173021692,CAFÉ INSTANTÁNEO 10G,800,1490,69,98,5
715902139323,BARRA DE CEREAL 30G,500,990,50,58,9
703598640352,GEL ALCOHÓLICO 100ML,2390,3700,38,39,14
723241178329,SUAVIZANTE AYUDIN 500ML,1290,1900,24,71,11
760048785172,CHOCOLATE NESTLE 45G,990,1890,54,71,19
762144743330,DETERGENTE ARIEL 500G,790,1400,74,112,18
737328112719,PALITOS SALADOS 100G,1700,2990,98,192,11
760569235258,CARGADOR USB 2.4A,1290,1800,80,106,15
796981688112,CAFÉ INSTANTÁNEO 10G,2790,4800,18,20,13
778582867497,GOMA DE MASCAR FRUTILLA 5UN,2990,5300,97,120,19
797719705431,PASTA DIENTES COLGATE 90ML,2590,3400,10,0,19
773882903269,CHOCOLATE NESTLE 45G,190,290,17,68,14
702852002497,CARGADOR USB 2.4A,500,800,97,145,14
753619764384,PARAGUAS TRANSPARENTE,590,800,72,72,16
734424637468,BARRA DE CEREAL 30G,2200,4090,20,65,17
757114722560,PASTEL DE MANJAR 80G,1790,2990,90,153,7
700383613507,BEBIDA COCA COLA 500ML,2900,5100,17,44,19
703876131459,ALCOHOL GEL 100ML,2000,3190,44,33,11
