codigo_producto,codigo_prov,descripcion,precio,cantidad,total,bod,movido,pendiente,lote,tipo_transaccion,fecha
759743227841,PROV004,CABLE USB 1MT,2057,22,23980,1,22,0,LOT202307,COMPRA,2023-03-28 12:53:56.111077048
778115056522,PROV001,ADAPTADOR HDMI-VGA,1090,24,16560,1,24,0,LOT202361,COMPRA,2023-06-06 21:52:32.868381905
723241178329,PROV004,SUAVIZANTE AYUDIN 500ML,1290,12,15480,1,12,0,LOT202363,COMPRA,2023-11-23 00:40:47.769345193
792379607791,PROV005,PASTA DIENTES COLGATE 90ML,1345,28,2800,1,28,0,LOT202398,COMPRA,2023-10-15 10:46:38.363819451
703377007955,PROV002,GEL ALCOHÓLICO 100ML,1442,24,28800,1,24,0,LOT202353,COMPRA,2023-05-28 23:26:09.417473628
703377007955,PROV004,GEL ALCOHÓLICO 100ML,1442,18,43020,1,18,0,LOT202309,COMPRA,2023-08-03 10:51:26.168188425
743543068824,PROV004,CARGADOR USB 2.4A,1345,22,11000,1,22,0,LOT202328,COMPRA,2023-07-15 19:50:18.548024612
777858530950,PROV004,GALLETA MARIA 200G,1790,29,51910,1,29,0,LOT202371,COMPRA,2023-10-30 10:42:05.827497050
778582867497,PROV002,GOMA DE MASCAR FRUTILLA 5UN,2990,25,74750,1,25,0,LOT202394,COMPRA,2023-03-22 10:45:14.230708078
757114722560,PROV003,PASTEL DE MANJAR 80G,1790,12,21480,1,12,0,LOT202364,COMPRA,2023-07-24 10:24:11.518853551
715902139323,PROV003,BARRA DE CEREAL 30G,1350,5,2500,1,5,0,LOT202320,COMPRA,2023-02-14 02:57:00.981244627
703377007955,PROV001,GEL ALCOHÓLICO 100ML,1442,8,7120,1,8,0,LOT202371,COMPRA,2023-08-21 23:24:05.223131573
725515179735,PROV005,ENERGIZANTE MR BUBBLE 250ML,1733,30,72000,1,30,0,LOT202396,COMPRA,2023-02-02 11:51:21.807254268
778115056522,PROV002,ADAPTADOR HDMI-VGA,1090,15,4350,1,15,0,LOT202306,COMPRA,2023-04-04 09:46:58.785180012
799839285278,PROV001,CAFÉ INSTANTÁNEO 10G,1960,21,16800,1,21,0,LOT202390,COMPRA,2023-11-17 14:06:23.507592242
703102912177,PROV003,LECHE EN POLVO 400G,2800,5,14000,1,5,0,LOT202306,COMPRA,2023-06-12 06:57:41.131536854
753061660635,PROV002,GOMA DE MASCAR 5UN,1145,10,4000,1,10,0,LOT202329,COMPRA,2023-05-08 22:55:28.792605092
703377007955,PROV005,GEL ALCOHÓLICO 100ML,1442,6,7740,1,6,0,LOT202346,COMPRA,2023-03-21 16:18:09.263502108
777858530950,PROV005,GALLETA MARIA 200G,1790,27,48330,1,27,0,LOT202361,COMPRA,2023-07-03 10:41:36.149504218
743543068824,PROV005,CARGADOR USB 2.4A,1345,29,40600,1,29,0,LOT202321,COMPRA,2023-09-03 06:40:42.092374719
769620372572,PROV003,CHOCOLATE NESTLE 45G,940,20,43800,1,20,0,LOT202314,COMPRA,2023-08-31 21:02:51.807347419
737328112719,PROV004,PALITOS SALADOS 100G,1700,30,51000,1,30,0,LOT202321,COMPRA,2023-10-14 02:33:18.547231332
759743227841,PROV005,CABLE USB 1MT,2057,19,20710,1,19,0,LOT202377,COMPRA,2023-07-27 02:51:09.907619363
737328112719,PROV001,PALITOS SALADOS 100G,1700,25,42500,1,25,0,LOT202355,COMPRA,2023-03-16 23:41:36.197133427
769771202578,PROV004,AGUA MINERAL 500ML,200,15,3000,1,15,0,LOT202302,COMPRA,2023-12-03 17:33:30.786146442
769620372572,PROV003,CHOCOLATE NESTLE 45G,940,13,28470,1,13,0,LOT202341,COMPRA,2023-08-16 08:23:30.762323297
778115056522,PROV002,ADAPTADOR HDMI-VGA,1090,11,25190,1,11,0,LOT202341,COMPRA,2023-08-22 07:55:11.758048138
759743227841,PROV003,CABLE USB 1MT,2057,11,22990,1,11,0,LOT202307,COMPRA,2023-04-13 19:55:14.954627509
778115056522,PROV004,ADAPTADOR HDMI-VGA,1090,11,25190,1,11,0,LOT202330,COMPRA,2023-08-09 18:42:09.125694134
759743227841,PROV005,CABLE USB 1MT,2057,5,5450,1,5,0,LOT202395,COMPRA,2023-11-14 23:07:12.078973064
769620372572,PROV003,CHOCOLATE NESTLE 45G,940,30,29700,1,30,0,LOT202330,COMPRA,2023-11-02 20:05:02.757086523
715902139323,PROV001,BARRA DE CEREAL 30G,1350,23,50600,1,23,0,LOT202333,COMPRA,2023-12-22 13:00:12.835807971
743752337768,PROV001,BEBIDA COCA COLA 500ML,1595,20,58000,1,20,0,LOT202365,COMPRA,2023-11-24 08:05:14.888993875
715073335721,PROV004,DETERGENTE ARIEL 500G,1240,15,25350,1,15,0,LOT202380,COMPRA,2023-08-30 19:25:50.190301060
799839285278,PROV005,CAFÉ INSTANTÁNEO 10G,1960,11,30690,1,11,0,LOT202333,COMPRA,2023-10-07 04:44:40.831502276
725515179735,PROV003,ENERGIZANTE MR BUBBLE 250ML,1733,6,5400,1,6,0,LOT202356,COMPRA,2023-09-04 20:52:05.394018413
703102912177,PROV003,LECHE EN POLVO 400G,2800,10,28000,1,10,0,LOT202306,COMPRA,2023-05-22 10:05:06.210967599
769620372572,PROV003,CHOCOLATE NESTLE 45G,940,26,4940,1,26,0,LOT202380,COMPRA,2023-10-03 12:26:39.869417742
778115056522,PROV003,ADAPTADOR HDMI-VGA,1090,29,20010,1,29,0,LOT202374,COMPRA,2023-07-22 14:08:40.644954716
703102912177,PROV004,LECHE EN POLVO 400G,2800,18,50400,1,18,0,LOT202375,COMPRA,2023-09-12 11:17:27.073076638
