codigo_producto,descripcion,precio,cantidad,total,tipo_transaccion,fecha,folio_origen
759743227841,CABLE USB 1MT,2057,22,23980,COMPRA,2023-01-01 04:50:27.591228628,LOT202353
753061660635,GOMA DE MASCAR 5UN,1895,2,1580,VENTA,2023-01-01 14:13:00.745175901,1137
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-01-01 16:55:56.015220227,1010
703102912177,LECHE EN POLVO 400G,4790,1,4790,VENTA,2023-01-01 18:20:17.947688228,1096
715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-01-01 22:17:42.681102641,1163
731342889773,CABLE JACK 3.5MM 1MT,1195,2,1180,VENTA,2023-01-02 06:37:18.715532940,1066
743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-01-02 12:49:50.343281258,1067
743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-01-03 05:02:27.789555684,1032
769771202578,AGUA MINERAL 500ML,300,1,300,VENTA,2023-01-03 11:44:32.960862466,1036
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-01-04 15:56:08.205637592,1036
724030223967,ALCOHOL GEL 100ML,3095,2,6380,VENTA,2023-01-05 07:16:18.644376404,1123
743752337768,BEBIDA COCA COLA 500ML,1595,24,6960,COMPRA,2023-01-05 09:11:04.728637048,LOT202340
715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-01-05 09:49:48.319342839,1160
743752337768,BEBIDA COCA COLA 500ML,2800,2,10200,VENTA,2023-01-05 22:24:33.318728283,1179
723750230102,VELA AROMÁTICA,4000,2,8000,VENTA,2023-01-06 04:53:45.487660918,1047
769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-01-07 05:26:06.107444885,1135
703377007955,GEL ALCOHÓLICO 100ML,2170,2,3580,VENTA,2023-01-07 16:30:12.286704440,1127
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,3180,VENTA,2023-01-07 21:49:00.041795001,1090
743543068824,CARGADOR USB 2.4A,1345,9,19710,COMPRA,2023-01-08 13:27:46.230858673,LOT202394
716447097258,CHIPS DE PAPA 35G,3490,1,3490,VENTA,2023-01-09 06:02:24.267789799,1176
778115056522,ADAPTADOR HDMI-VGA,1463,1,2900,VENTA,2023-01-09 09:25:59.382777265,1175
743543068824,CARGADOR USB 2.4A,2272,2,4380,VENTA,2023-01-09 17:35:27.803846514,1065
759743227841,CABLE USB 1MT,3563,2,11200,VENTA,2023-01-10 08:26:29.472159230,1023
753619764384,PARAGUAS TRANSPARENTE,800,2,1600,VENTA,2023-01-10 12:46:24.527203387,1061
769771202578,AGUA MINERAL 500ML,300,1,300,VENTA,2023-01-12 19:14:50.032520573,1041
743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-01-15 00:22:54.356054150,1047
799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,1490,VENTA,2023-01-15 14:35:20.461356010,1006
753619764384,PARAGUAS TRANSPARENTE,800,1,800,VENTA,2023-01-16 11:45:12.748315942,1075
778115056522,ADAPTADOR HDMI-VGA,1463,1,2900,VENTA,2023-01-18 00:36:59.526596177,1164
703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-01-19 04:03:11.881664793,1169
715902139323,BARRA DE CEREAL 30G,2540,1,990,VENTA,2023-01-19 10:25:54.251587014,1128
715073335721,DETERGENTE ARIEL 500G,2000,1,1400,VENTA,2023-01-19 18:54:04.876999752,1170
703377007955,GEL ALCOHÓLICO 100ML,1442,12,14400,COMPRA,2023-01-20 05:57:01.542564954,LOT202323
715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-01-20 08:06:21.322999750,1037
716447097258,CHIPS DE PAPA 35G,3490,2,6980,VENTA,2023-01-21 20:09:03.547446158,1166
778582867497,GOMA DE MASCAR FRUTILLA 5UN,5300,2,10600,VENTA,2023-01-25 16:37:40.458363972,1008
743543068824,CARGADOR USB 2.4A,2272,2,8600,VENTA,2023-01-26 13:41:06.006811962,1169
724030223967,ALCOHOL GEL 100ML,3095,2,6380,VENTA,2023-01-28 03:22:43.552555243,1197
737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-01-29 20:22:52.445032048,1001
723750230102,VELA AROMÁTICA,4000,1,4000,VENTA,2023-01-30 20:48:34.390916916,1095
707037023369,MEMORIA SD 32GB,3300,1,2700,VENTA,2023-01-31 00:27:43.030593019,1143
753061660635,GOMA DE MASCAR 5UN,1895,2,6000,VENTA,2023-01-31 11:34:46.529573917,1000
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,2980,VENTA,2023-01-31 17:30:39.863856413,1160
715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-02-01 16:12:31.311662816,1039
725515179735,ENERGIZANTE MR BUBBLE 250ML,1733,30,72000,COMPRA,2023-02-02 11:51:21.807254268,LOT202396
757114722560,PASTEL DE MANJAR 80G,2990,2,5980,VENTA,2023-02-03 13:04:36.584800009,1054
703102912177,LECHE EN POLVO 400G,4790,2,9580,VENTA,2023-02-05 18:44:15.090329683,1121
743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-02-05 19:04:28.258997091,1109
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,3180,VENTA,2023-02-06 18:49:40.541388539,1089
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,8000,VENTA,2023-02-07 23:25:08.946287918,1015
703377007955,GEL ALCOHÓLICO 100ML,2170,2,3380,VENTA,2023-02-08 03:12:15.904224426,1080
778115056522,ADAPTADOR HDMI-VGA,1463,1,490,VENTA,2023-02-08 15:53:52.346338951,1059
716447097258,CHIPS DE PAPA 35G,3490,1,3490,VENTA,2023-02-08 16:37:28.471483818,1035
715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-02-09 02:48:08.012898935,1134
715902139323,BARRA DE CEREAL 30G,1350,5,2500,COMPRA,2023-02-14 02:57:00.981244627,LOT202320
769620372572,CHOCOLATE NESTLE 45G,1768,1,290,VENTA,2023-02-14 13:47:57.719455181,1031
777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-02-15 00:54:17.173463184,1030
799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,9600,VENTA,2023-02-18 15:35:29.903303041,1089
769620372572,CHOCOLATE NESTLE 45G,940,29,63510,COMPRA,2023-02-18 15:57:24.321984406,LOT202321
743543068824,CARGADOR USB 2.4A,2272,1,800,VENTA,2023-02-20 14:37:42.690534727,1117
731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-02-21 02:53:46.605229404,1020
715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-02-22 04:10:54.286664385,1150
778115056522,ADAPTADOR HDMI-VGA,1090,24,54960,COMPRA,2023-02-22 07:29:12.572277831,LOT202360
725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,3180,VENTA,2023-02-23 07:16:01.451075996,1009
743543068824,CARGADOR USB 2.4A,2272,2,3600,VENTA,2023-02-23 19:30:21.762875936,1081
731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-02-24 08:42:23.896273200,1117
