folio,codigo_producto,descripcion,precio,cantidad,total,tipo_transaccion,fecha
1000,753061660635,GOMA DE MASCAR 5UN,1895,2,6000,VENTA,2023-12-29 16:54:16.817843959
1000,703102912177,LECHE EN POLVO 400G,4790,1,4790,VENTA,2023-06-06 22:01:31.659189417
1000,743752337768,BEBIDA COCA COLA 500ML,2800,2,10200,VENTA,2023-11-12 19:54:05.364690782
1001,769620372572,CHOCOLATE NESTLE 45G,1768,2,1000,VENTA,2023-12-21 08:47:58.666254318
1001,737328112719,PALITOS SALADOS 100G,2990,1,2990,VENTA,2023-05-25 20:04:45.123125055
1002,715073335721,DETERGENTE ARIEL 500G,2000,2,5200,VENTA,2023-01-30 12:05:33.777477669
1003,731342889773,CABLE JACK 3.5MM 1MT,1195,1,590,VENTA,2023-08-16 05:51:41.871536415
1004,792379607791,PASTA DIENTES COLGATE 90ML,1795,2,6800,VENTA,2023-04-26 15:15:38.544448159
1004,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-06-24 23:08:34.325948300
1005,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-07-03 21:41:31.413681015
1005,743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-06-12 07:10:08.059455474
1005,715073335721,DETERGENTE ARIEL 500G,2000,2,2800,VENTA,2023-05-15 04:00:02.220034223
1006,799839285278,CAFÉ INSTANTÁNEO 10G,3397,1,1490,VENTA,2023-12-25 06:09:40.929808436
1006,707037023369,MEMORIA SD 32GB,3300,2,5400,VENTA,2023-06-29 05:10:30.917305947
1006,769620372572,CHOCOLATE NESTLE 45G,1768,1,1890,VENTA,2023-06-26 00:31:30.263595116
1007,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,2980,VENTA,2023-09-13 02:35:28.306026458
1007,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-01-03 03:10:40.613688422
1007,703377007955,GEL ALCOHÓLICO 100ML,2170,2,3580,VENTA,2023-10-14 06:30:45.943092169
1008,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-11-26 17:25:50.037573524
1008,778582867497,GOMA DE MASCAR FRUTILLA 5UN,5300,2,10600,VENTA,2023-01-20 14:49:11.829393503
1008,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-12-30 07:24:13.150388559
1009,724030223967,ALCOHOL GEL 100ML,3095,2,6000,VENTA,2023-01-16 20:28:39.468571501
1009,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,3180,VENTA,2023-11-05 09:57:37.812337292
1009,777858530950,GALLETA MARIA 200G,2600,2,5200,VENTA,2023-01-28 00:09:43.549987654
1010,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,7800,VENTA,2023-04-12 05:08:31.037481300
1010,769620372572,CHOCOLATE NESTLE 45G,1768,1,500,VENTA,2023-03-09 04:10:47.878678881
1010,724030223967,ALCOHOL GEL 100ML,3095,2,6000,VENTA,2023-12-03 17:54:49.817385101
1011,743543068824,CARGADOR USB 2.4A,2272,1,4300,VENTA,2023-03-09 23:18:27.355805407
1012,753061660635,GOMA DE MASCAR 5UN,1895,1,790,VENTA,2023-01-09 12:32:18.278783383
1013,703377007955,GEL ALCOHÓLICO 100ML,2170,1,1690,VENTA,2023-03-20 18:14:59.942509970
1013,743543068824,CARGADOR USB 2.4A,2272,2,1600,VENTA,2023-12-03 01:05:42.592689158
1014,778115056522,ADAPTADOR HDMI-VGA,1463,1,1000,VENTA,2023-03-03 14:14:37.001603599
1014,769620372572,CHOCOLATE NESTLE 45G,1768,2,3780,VENTA,2023-10-04 21:25:30.538734593
1015,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,2,8000,VENTA,2023-05-17 02:18:32.049639209
1015,778115056522,ADAPTADOR HDMI-VGA,1463,1,2900,VENTA,2023-05-11 15:01:52.722821271
1016,743752337768,BEBIDA COCA COLA 500ML,2800,2,1000,VENTA,2023-03-08 09:13:19.760103312
1016,715073335721,DETERGENTE ARIEL 500G,2000,1,2600,VENTA,2023-10-07 05:43:08.119078402
1016,725515179735,ENERGIZANTE MR BUBBLE 250ML,2927,1,4000,VENTA,2023-07-14 07:12:09.853982878
1017,743752337768,BEBIDA COCA COLA 500ML,2800,1,5100,VENTA,2023-04-12 22:41:13.797870073
1017,799839285278,CAFÉ INSTANTÁNEO 10G,3397,2,2980,VENTA,2023-12-12 08:39:36.874071741
1018,769620372572,CHOCOLATE NESTLE 45G,1768,2,580,VENTA,2023-06-14 02:51:22.419842703
1018,792379607791,PASTA DIENTES COLGATE 90ML,1795,1,190,VENTA,2023-01-23 22:19:12.832079891
1018,737328112719,PALITOS SALADOS 100G,2990,2,5980,VENTA,2023-04-26 19:39:22.036142956
1019,703377007955,GEL ALCOHÓLICO 100ML,2170,1,3700,VENTA,2023-08-14 05:24:09.080900697
